id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
98058502,CooldownReadyFlashDisabler,AlexFolland/CooldownReadyFlashDisabler,https://github.com/AlexFolland/CooldownReadyFlashDisabler,,2026-02-10T22:14:15Z,"mainline,vanilla,tbc,wrath,cata,mists",94999,,,True,2026-04-05T23:28:23Z,230,3
257487952,DeleteConfirmer,AlexFolland/DeleteConfirmer,https://github.com/AlexFolland/DeleteConfirmer,Dangerous WoW addon that instantly confirms any item deletion,2021-07-05T05:06:56Z,"mainline,vanilla,tbc",377586,,,True,2026-04-05T23:28:23Z,4305,1
98057940,DeleteGoodItemConfirmHelper,AlexFolland/DeleteGoodItemConfirmHelper,https://github.com/AlexFolland/DeleteGoodItemConfirmHelper,,2026-02-10T22:16:39Z,"mainline,vanilla,tbc,wrath,cata,mists",95016,,,True,2026-04-05T23:28:23Z,1057,4
98058275,DirectGameMenu,AlexFolland/DirectGameMenu,https://github.com/AlexFolland/DirectGameMenu,,2026-02-10T22:53:12Z,"titan,mainline,vanilla,tbc,wrath,cata,mists",101885,,,True,2026-04-05T23:28:23Z,194,3
98086951,PrintTracer,AlexFolland/PrintTracer,https://github.com/AlexFolland/PrintTracer,World Of Warcraft addon for tracing the source of print calls,2026-02-10T21:52:59Z,"titan,mainline,vanilla,tbc,wrath,cata,mists",272786,,,True,2026-04-05T23:28:23Z,2330,3
737391997,BetterBags-Appearances,AlexHaible/BetterBags-Appearances,https://github.com/AlexHaible/BetterBags-Appearances,"Source code for a World of Warcraft addon, that adds a few transmog categories to BetterBags.",2026-02-16T19:53:11Z,mainline,956133,,,True,2026-04-05T23:28:23Z,12397,43
812490883,BetterBags-CraftingLegendaries,AlexHaible/BetterBags-CraftingLegendaries,https://github.com/AlexHaible/BetterBags-CraftingLegendaries,,2026-02-28T19:21:14Z,mainline,1033418,,,True,2026-04-05T23:28:23Z,227,25
737523850,BetterBags-Teleports,AlexHaible/BetterBags-Teleports,https://github.com/AlexHaible/BetterBags-Teleports,"Source code for a World of Warcraft addon, that puts all your teleporting items into a single category.",2026-02-24T15:37:20Z,"mainline,vanilla,cata,mists",956341,,,True,2026-04-05T23:28:23Z,7101,43
815366051,BetterBags-Themes,AlexHaible/BetterBags-Themes,https://github.com/AlexHaible/BetterBags-Themes,,2026-02-16T20:06:21Z,mainline,1037168,,,True,2026-04-05T23:28:23Z,2782,21
515766357,How-Many-Titles,AlexHaible/How-Many-Titles,https://github.com/AlexHaible/How-Many-Titles,"Source code for a World of Warcraft addon, that adds a few slash commands for easy checking of how many titles your current character has",2026-02-16T20:07:10Z,mainline,646799,,,True,2026-04-05T23:28:23Z,379,27
669643121,Run-On-Login,AlexHaible/Run-On-Login,https://github.com/AlexHaible/Run-On-Login,"Source code for a World of Warcraft addon, that allows the user to specify certain CVars to be set on every login or UI reload, on every character.",2026-02-16T20:08:53Z,mainline,892400,,,True,2026-04-05T23:28:23Z,262,24
669841129,Soft-Targeting,AlexHaible/Soft-Targeting,https://github.com/AlexHaible/Soft-Targeting,"Source code for a World of Warcraft addon, that allows the user to specify targeting ranges on a spec basis for action targeting.",2026-02-16T20:08:34Z,mainline,892627,,,True,2026-04-05T23:28:23Z,410,21
473657811,Speak-Demonic,AlexHaible/Speak-Demonic,https://github.com/AlexHaible/Speak-Demonic,"Source code for a World of Warcraft addon, that auto-switches language for Demon Hunters upon entering their Class Hall, and back upon leaving it in any manner.",2026-02-16T20:08:19Z,mainline,267457,,,True,2026-04-05T23:28:23Z,434,29
539702145,Personal-Black-List-PBL,AlexOvares/Personal-Black-List-PBL,https://github.com/AlexOvares/Personal-Black-List-PBL,Repo for Personal Black List ( PBL ) World of Warcraft Add On,2022-12-16T09:58:24Z,mainline,304720,,24841,True,2026-04-05T23:28:23Z,52595,4
842059222,Ruilhenn,Alzakath/Ruilhenn,https://github.com/Alzakath/Ruilhenn,A simple WoW addon to create class utility macros,2026-02-15T17:24:47Z,mainline,,EGPXEeG1,,True,2026-04-05T23:28:23Z,115,10
45361839,PGFinder,AnTr95/PGFinder,https://github.com/AnTr95/PGFinder,,2025-10-12T09:57:00Z,mainline,91733,EGPXQ3G1,,True,2026-04-05T23:28:23Z,2349,27
520257779,BagSearchPlus,Andols0/BagSearchPlus,https://github.com/Andols0/BagSearchPlus,,2026-01-02T18:18:12Z,mainline,88503,,26378,True,2026-04-05T23:28:23Z,357,17
